#
#      UT day (days)  Temperature (c)  rms Temp (c)    d T / dt (C/days)
       4.9479167       2.8845000       1.8931738      -112.88000
       4.9583333       1.0870000       1.3498560      -92.563636
       4.9687500      0.95609091       1.3819946      -91.253333
       4.9791667     -0.81411111       1.5233142      -86.036364
       4.9895833     -0.83633333       1.2842800      -61.066667
       5.0000000      -2.0863333       2.0702254      -24.200000
       5.0104167      -1.3405000       2.0341285       63.155200
       5.0208333     -0.77060000       2.8798175       6.6000000
       5.0312500      -1.2030000       2.4484689      -44.275200
       5.0416667      -1.6930000       1.6633550      -26.160000
       5.0520833      -1.7480000       2.3900779      -116.36571
       5.0625000      -4.1172857       2.5139137      -78.000000
       5.0729167      -3.3730000       2.8540760      -27.085714
       5.0833333      -4.6815714       2.9072979       10.217143
       5.0937500      -3.1601429       3.0402068       31.238095
       5.1041667      -4.0307778       2.5669913       70.379221
       5.1145833      -1.6939091       3.0471149       16.213333
       5.1250000      -3.6930000       3.3648345       5.9636364
       5.1354167      -1.5696667       3.8914168       58.148571
       5.1458333      -2.4815714       4.0137116       94.057143
       5.1562500      0.38985714       2.9427069       154.97143
       5.1666667      0.74700000       3.1170900       41.542857
       5.1770833       1.2553333       4.6822448      -198.66667
       5.1875000      -3.3918889       4.3786255      -148.51429
       5.1979167      -1.8387143       3.9298764       21.546667
       5.2083333      -2.9430000       3.6126168      -128.48571
       5.2187500      -4.5155000       3.4950858      -44.746667
       5.2291667      -3.8752222       3.1915035       120.20000
       5.2395833      -2.0113333       2.9962337       54.739394
       5.2500000      -2.7348182       3.6690784       19.600000
       5.2604167      -1.6030000       3.5415896       28.927273
       5.2708333      -2.1321667       3.4647221      -31.885714
       5.2812500      -2.2672857       3.5511400       7.0000000
       5.2916667      -1.9863333       3.6403983       53.485714
       5.3020833      -1.1530000       2.1295539       78.742857
       5.3125000     -0.34585714       2.6702729       27.600000
       5.3229167     -0.57800000       2.2783218      -47.742857
       5.3333333      -1.3405000       4.1453718      -116.10000
       5.3437500      -2.9967500       4.2123490      -50.600000
       5.3541667      -2.3946667       3.3336791      -10.500000
       5.3645833      -3.2155000       2.8129484      -20.560000
       5.3750000      -2.8230000       2.7231875      -5.0000000
       5.3854167      -3.3196667       2.9548689       40.693333
       5.3958333      -1.9752222       2.9479984       39.800000
       5.4062500      -2.4905000       3.5145234       18.133333
       5.4166667      -1.5974444       2.0666163       110.04000
       5.4270833     -0.19800000       3.5598416       101.43333
       5.4375000      0.51575000       3.0935344       253.76000
       5.4479167       5.0886667       3.8914543       292.30000
       5.4583333       6.6053333       4.4702815       185.20000
       5.4687500       8.9470000       5.7410800       8.0000000
       5.4791667       6.7720000       5.8296655       50.976000
       5.4895833       10.009000       8.0485552       85.114667
       5.5000000       8.5452222       5.1921820      -135.93600
       5.5104167       7.1770000       1.6980135      -116.61467
       5.5208333       6.1157500       2.4741431      -32.982857
       5.5312500       6.4898571       2.5544779       124.14000
       5.5416667       8.7020000       3.5811583       197.38286
       5.5520833       10.602000       2.8074751       107.76000
       5.5625000       10.947000       3.4786651       77.360000
       5.5729167       12.213667       3.1472210       67.500000
       5.5833333       12.353250       4.1968898       87.600000
       5.5937500       14.038667       3.7623685       85.300000
       5.6041667       14.130333       5.5471314      -29.771429
       5.6145833       13.418429       3.7552027      -51.700000
       5.6250000       13.053250       2.3257007      -57.942857
       5.6354167       12.211286       2.9474161      -99.300000
       5.6458333       10.984500       1.8082648      -11.485714
       5.6562500       11.972000       1.9951817      -17.914286
       5.6666667       10.611286       2.0864073      -71.828571
       5.6770833       10.475571       2.0685859       13.954286
       5.6875000       10.902000       2.8998515      -26.462338
       5.6979167       9.9242727       3.3643992      -33.840000
       5.7083333       10.197000       3.3340832      -47.442424
       5.7187500       8.9358889       4.3268622       32.571429
       5.7291667       10.875571       2.1140122       18.019048
